,user_id,rollout_group,assign_date,group,age,age_cohort,income,income_cohort,net_worth,networth_cohort,retirement_balance,balance_cohort,current_pct,employer_cap,last_login,acct_tenure,time_online_frac,conv_rate,converted,conversion_date,delta_pct,new_pct,user_delta_aum,employer_delta_aum,total_delta_aum,revenue,roi
0,178284,1,2025-09-03,A,83.11743133860547,>65,235707.2946627201,50-75%,7998882.372582307,>75%,1980161.008901814,>75%,6.75,6.0,32.2,2.786248364378119,0.115,0.0010881975968463928,0,,0.0,6.75,0.0,0.0,0.0,0.0,-1.4083694984646877
1,581123,1,2025-09-03,A,59.79085183256001,41-65,5813371.247897573,>75%,68161549.0272157,>75%,2051887.940527928,>75%,8.0,9.0,11.0,1.8302007605709647,0.151,0.02999630948325671,0,,0.0,8.0,0.0,0.0,0.0,0.0,-1.4083694984646877
2,587338,1,2025-09-03,A,36.81806040579465,18-40,175278.79228769898,25-50%,10182324.914092677,>75%,2753758.674742191,>75%,6.5,10.75,3.9,5.561086563990012,0.261,0.01801642430123264,0,,0.0,6.5,0.0,0.0,0.0,0.0,-1.4083694984646877
3,614920,1,2025-09-03,A,59.16447529908844,41-65,44004.87711560467,0-25%,148922.18598113116,0-25%,243961.93711376857,25-50%,5.75,9.0,13.9,4.12811876129601,0.174,0.005542237356860976,0,,0.0,5.75,0.0,0.0,0.0,0.0,-1.4083694984646877
4,933455,1,2025-09-03,A,68.15931459381358,>65,473935.3403801913,50-75%,9710760.409804711,>75%,743284.6711324524,50-75%,8.5,6.5,112.7,7.243126061179346,0.155,0.0029677729098914023,0,,0.0,8.5,0.0,0.0,0.0,0.0,-1.4083694984646877
5,810348,1,2025-09-03,A,58.64320145662405,41-65,838186.9215504263,>75%,32799418.310305357,>75%,2711103.683681632,>75%,13.5,9.25,4.5,0.1101135396428605,0.189,0.006906528128279448,0,,0.0,13.5,0.0,0.0,0.0,0.0,-1.4083694984646877
6,415183,1,2025-09-03,A,45.58940440479219,41-65,81484.39621973342,0-25%,468044.4753946072,25-50%,17876.27062081726,0-25%,17.25,15.75,11.2,1.3833479768108434,0.175,0.013743534646715036,0,,0.0,17.25,0.0,0.0,0.0,0.0,-1.4083694984646877
7,672186,1,2025-09-03,A,63.06769889740698,41-65,135772.49585493738,25-50%,841939.0486537884,25-50%,899973.0625812345,50-75%,7.75,6.75,30.5,7.093164497456522,0.154,0.0025201866542870293,0,,0.0,7.75,0.0,0.0,0.0,0.0,-1.4083694984646877
8,916988,1,2025-09-03,A,42.24898953775654,41-65,174253.24421197633,25-50%,768838.7068794309,25-50%,129551.15224286866,25-50%,9.25,8.75,70.9,0.8577393414126541,0.246,0.013215003518946916,0,,0.0,9.25,0.0,0.0,0.0,0.0,-1.4083694984646877
9,868474,1,2025-09-03,A,55.4039756438054,41-65,452320.3903265452,50-75%,4338254.734592381,50-75%,2164213.573409374,>75%,7.0,12.0,23.7,0.1653335187928167,0.224,0.012452219304976624,0,,0.0,7.0,0.0,0.0,0.0,0.0,-1.4083694984646877
