,user_id,rollout_group,assign_date,group,age,age_cohort,income,income_cohort,net_worth,networth_cohort,retirement_balance,balance_cohort,current_pct,employer_cap,last_login,acct_tenure,time_online_frac,conv_rate,converted,conversion_date,delta_pct,new_pct,user_delta_aum,employer_delta_aum,total_delta_aum,revenue,roi_exper,roi
0,945750,1,2025-09-03,A,53.37622990637914,41-65,174408.788035218,25-50%,571125.9624208774,25-50%,285797.0613437056,25-50%,12.75,7.5,22.9,3.927537914631624,0.204,0.0064374828036822375,0,,0.0,12.75,0.0,0.0,0.0,0.0,-1.4191105610561054,-0.001
1,905513,1,2025-09-03,A,68.46255185489534,>65,4375917.5228901645,>75%,23824189.687470343,>75%,4548035.980865847,>75%,3.25,1.25,0.2,6.015857168064662,0.146,0.006685192181325782,0,,0.0,3.25,0.0,0.0,0.0,0.0,-1.4191105610561054,-0.001
2,142290,1,2025-09-03,A,75.1406306893188,>65,177235.6263509881,25-50%,5035178.294837566,50-75%,1752897.764421911,>75%,4.0,6.75,2.2,0.7558995559549995,0.115,0.003272436684264614,0,,0.0,4.0,0.0,0.0,0.0,0.0,-1.4191105610561054,-0.001
3,920046,1,2025-09-03,A,76.82240437801009,>65,49976.9088645852,0-25%,190755.6798207732,0-25%,189094.16360033728,25-50%,12.0,9.75,60.8,2.7012262041801014,0.132,0.0011900363684518435,0,,0.0,12.0,0.0,0.0,0.0,0.0,-1.4191105610561054,-0.001
4,567441,1,2025-09-03,A,50.69860513437565,41-65,1392129.1899018856,>75%,15905236.545018353,>75%,1020297.6362747692,50-75%,10.0,6.0,107.5,2.268216973607592,0.193,0.012145573468998545,0,,0.0,10.0,0.0,0.0,0.0,0.0,-1.4191105610561054,-0.001
5,195092,1,2025-09-03,A,51.88197854875262,41-65,110875.3666200156,25-50%,363266.6786520885,25-50%,70823.7798733833,0-25%,8.0,6.75,8.8,13.205469724234485,0.171,0.006291142926221589,0,,0.0,8.0,0.0,0.0,0.0,0.0,-1.4191105610561054,-0.001
6,828408,1,2025-09-03,A,55.0450659885598,41-65,95521.52001614092,25-50%,455031.9333019946,25-50%,36193.87156579754,0-25%,4.0,9.75,7.1,0.3606323234874304,0.194,0.016010603435880073,0,,0.0,4.0,0.0,0.0,0.0,0.0,-1.4191105610561054,-0.001
7,585763,1,2025-09-03,A,80.60799793126886,>65,3633037.244481933,>75%,230273455.2029152,>75%,11524047.86829809,>75%,11.25,7.25,14.4,1.2191042891661037,0.118,0.00298691588253439,0,,0.0,11.25,0.0,0.0,0.0,0.0,-1.4191105610561054,-0.001
8,657189,1,2025-09-03,A,36.4071736362758,18-40,216236.8158124696,50-75%,1510100.4155207586,50-75%,612298.8960111074,50-75%,6.0,9.25,12.1,4.9412946627239664,0.258,0.027576650625943867,0,,0.0,6.0,0.0,0.0,0.0,0.0,-1.4191105610561054,-0.001
9,410021,1,2025-09-03,A,66.81357437237489,>65,145833.02040485575,25-50%,5168236.992799903,50-75%,872520.5596658672,50-75%,5.25,4.75,60.8,0.2422353445042365,0.158,0.00240423491476921,0,,0.0,5.25,0.0,0.0,0.0,0.0,-1.4191105610561054,-0.001
