,user_id,rollout_group,assign_date,group,age,age_cohort,income,income_cohort,net_worth,networth_cohort,retirement_balance,balance_cohort,current_pct,employer_cap,last_login,acct_tenure,time_online_frac,conv_rate,converted,conversion_date,delta_pct,new_pct,user_delta_aum,employer_delta_aum,total_delta_aum,revenue,roi_exper,roi
0,614257,1,2025-09-03,A,36.370352735196526,18-40,336123.5799669001,50-75%,319556.1157984316,0-25%,592536.155234326,50-75%,9.25,12.5,23.6,0.1998881087145703,0.24,0.03687319099313721,1,2025-09-25,1.5,10.75,5041.853699503502,5041.853699503502,10083.707399007004,7.058595179304904,6.370095179304903,7.057595179304903
1,382320,1,2025-09-03,A,77.06556596813292,>65,418559.0707429928,50-75%,5101493.465814597,50-75%,1306176.259783627,50-75%,6.5,10.75,3.9,5.560623743407951,0.138,0.004075612100244191,0,,0.0,6.5,0.0,0.0,0.0,0.0,-0.6885,-0.001
2,609752,1,2025-09-03,A,73.4943454011673,>65,250193.87710405292,50-75%,7683106.8244606275,>75%,6614655.988024339,>75%,2.75,4.75,40.7,2.006847205222142,0.151,0.00277091106697584,0,,0.0,2.75,0.0,0.0,0.0,0.0,-0.6885,-0.001
3,142290,1,2025-09-03,A,75.1406306893188,>65,177235.6263509881,25-50%,5035178.294837566,50-75%,1752897.764421911,>75%,4.0,6.75,2.2,0.7558995559549995,0.115,0.003272436684264614,0,,0.0,4.0,0.0,0.0,0.0,0.0,-0.6885,-0.001
4,427070,1,2025-09-03,A,46.00162488794007,41-65,577714.2243115463,>75%,1517717.4404257229,50-75%,2872932.041262025,>75%,8.75,12.0,71.1,2.329954652028765,0.196,0.017806968542676285,0,,0.0,8.75,0.0,0.0,0.0,0.0,-0.6885,-0.001
5,685773,1,2025-09-03,A,87.53729531100403,>65,397623.4659758409,50-75%,27881146.66563129,>75%,2654443.1793953427,>75%,7.75,3.5,0.9,0.611839510222456,0.112,0.001146679924060319,0,,0.0,7.75,0.0,0.0,0.0,0.0,-0.6885,-0.001
6,115967,1,2025-09-03,A,44.96732540210525,41-65,247619.1974989033,50-75%,9574566.63630103,>75%,4701725.734613656,>75%,13.0,6.25,44.1,4.964757329599966,0.232,0.005798454544949581,0,,0.0,13.0,0.0,0.0,0.0,0.0,-0.6885,-0.001
7,984539,1,2025-09-03,A,53.485748464841485,41-65,248349.96254142805,50-75%,1556147.1651045722,50-75%,391998.0115382304,25-50%,11.5,5.25,7.5,0.9654502331384108,0.183,0.0077492567222045925,0,,0.0,11.5,0.0,0.0,0.0,0.0,-0.6885,-0.001
8,291911,1,2025-09-03,A,84.41888469509942,>65,1548912.1020557408,>75%,72247737.0524895,>75%,9429934.531771204,>75%,5.75,16.5,10.8,7.070827981409877,0.104,0.0030709599481588594,0,,0.0,5.75,0.0,0.0,0.0,0.0,-0.6885,-0.001
9,841176,1,2025-09-03,A,69.16731415931281,>65,2780315.924773112,>75%,10664568.431255776,>75%,3812284.2619434088,>75%,7.25,7.25,9.5,1.4391672690054715,0.163,0.0060563610225295335,0,,0.0,7.25,0.0,0.0,0.0,0.0,-0.6885,-0.001
