,user_id,rollout_group,assign_date,group,age,age_cohort,income,income_cohort,net_worth,networth_cohort,retirement_balance,balance_cohort,current_pct,employer_cap,last_login,acct_tenure,time_online_frac,conv_rate,converted,conversion_date,delta_pct,new_pct,user_delta_aum,employer_delta_aum,total_delta_aum,revenue,roi_exper,roi
0,192870,1,2025-09-03,A,38.56184229611275,18-40,1128847.442237642,>75%,72446112.83790603,>75%,7008310.386366483,>75%,8.25,13.75,15.8,7.839514164651696,0.218,0.027598181579300086,0,,0.0,8.25,0.0,0.0,0.0,0.0,-5.197523053665911,-0.001
1,954162,1,2025-09-03,A,38.59146477092005,18-40,174430.08650321927,25-50%,2199107.0689810584,50-75%,101790.3755427898,0-25%,9.5,4.5,39.9,5.402292374238873,0.226,0.015760747936138842,0,,0.0,9.5,0.0,0.0,0.0,0.0,-5.197523053665911,-0.001
2,578649,1,2025-09-03,A,78.2112533843098,>65,617550.9549705145,>75%,220022177.1949673,>75%,6256082.621384265,>75%,5.25,8.5,32.3,3.145258073191623,0.138,0.0032473508579020597,0,,0.0,5.25,0.0,0.0,0.0,0.0,-5.197523053665911,-0.001
3,336869,1,2025-09-03,A,46.543366962007525,41-65,105034.05709875972,25-50%,214034.9855282005,0-25%,58721.25154686555,0-25%,8.0,11.0,3.5,2.121754656720069,0.171,0.022106721988339004,0,,0.0,8.0,0.0,0.0,0.0,0.0,-5.197523053665911,-0.001
4,835246,1,2025-09-03,A,60.75832128055201,41-65,95317.75000866168,25-50%,545307.7704734261,25-50%,39087.61930911376,0-25%,5.75,9.75,16.2,0.290246590552869,0.176,0.011629967109442748,0,,0.0,5.75,0.0,0.0,0.0,0.0,-5.197523053665911,-0.001
5,743149,1,2025-09-03,A,53.80702119151302,41-65,447232.09071889386,50-75%,645610.0658558216,25-50%,2051864.9804493536,>75%,10.5,10.75,0.7,1.720908337201907,0.179,0.013569606329712304,0,,0.0,10.5,0.0,0.0,0.0,0.0,-5.197523053665911,-0.001
6,292406,1,2025-09-03,A,57.64101710655044,41-65,105604.09238024428,25-50%,3528646.730721352,50-75%,1456702.9441459144,50-75%,5.5,5.0,9.6,6.035671160206384,0.197,0.002839898302186132,0,,0.0,5.5,0.0,0.0,0.0,0.0,-5.197523053665911,-0.001
7,795958,1,2025-09-03,A,48.61564927527909,41-65,257521.2402148808,50-75%,703046.2687420554,25-50%,2230869.888881573,>75%,8.0,8.0,9.0,17.65472279134356,0.226,0.004503789198845155,0,,0.0,8.0,0.0,0.0,0.0,0.0,-5.197523053665911,-0.001
8,514657,1,2025-09-03,A,38.9093293979554,18-40,62643.310151445294,0-25%,330744.4099773858,0-25%,82852.31702481255,0-25%,8.5,14.0,68.6,0.2610268535658975,0.258,0.022080658503759485,0,,0.0,8.5,0.0,0.0,0.0,0.0,-5.197523053665911,-0.001
9,447983,1,2025-09-03,A,54.92553315014077,41-65,43158.5875830419,0-25%,83953.55993943624,0-25%,109399.38823612292,0-25%,6.0,13.25,1.2,10.312511912302394,0.238,0.007063133633105106,0,,0.0,6.0,0.0,0.0,0.0,0.0,-5.197523053665911,-0.001
