,user_id,rollout_group,assign_date,group,age,age_cohort,income,income_cohort,net_worth,networth_cohort,retirement_balance,balance_cohort,current_pct,employer_cap,last_login,acct_tenure,time_online_frac,conv_rate,converted,conversion_date,delta_pct,new_pct,user_delta_aum,employer_delta_aum,total_delta_aum,roi
0,760626,1,2025-09-03,A,50.80748603111907,41-65,152898.08498923632,25-50%,435251.2137823851,25-50%,412992.31099693326,25-50%,9.75,7.5,35.0,10.548975277031277,0.149,0.005312080723913444,0,,0.0,9.75,0.0,0.0,0.0,-2.778216723894163
1,382182,1,2025-09-03,A,75.30069942557226,>65,999197.7229907728,>75%,4833897.055739105,50-75%,2113744.589541376,>75%,4.0,6.75,2.2,0.7559363316383905,0.114,0.006699200052705021,0,,0.0,4.0,0.0,0.0,0.0,-2.778216723894163
2,290257,1,2025-09-03,A,76.80737065797437,>65,180214.2420150785,25-50%,26460598.964352563,>75%,437888.3554820457,25-50%,10.0,6.0,107.5,2.271932816328013,0.113,0.0016131099142087332,0,,0.0,10.0,0.0,0.0,0.0,-2.778216723894163
3,737089,1,2025-09-03,A,87.09297098567437,>65,57613.32675997132,0-25%,674408.1269907851,25-50%,1322783.2736773607,50-75%,13.0,6.25,44.1,5.003150729527735,0.103,0.00048282857062583286,0,,0.0,13.0,0.0,0.0,0.0,-2.778216723894163
4,362296,1,2025-09-03,A,52.34111865258992,41-65,313756.11533133,50-75%,17277289.532156523,>75%,709113.3712932057,50-75%,8.0,6.75,8.8,13.280372907742583,0.17,0.005888725126563936,0,,0.0,8.0,0.0,0.0,0.0,-2.778216723894163
5,536728,1,2025-09-03,A,77.34708000235652,>65,917297.8419497348,>75%,21790254.518030982,>75%,4796746.916891738,>75%,4.0,9.75,7.1,0.360847183197387,0.126,0.004865453577398243,0,,0.0,4.0,0.0,0.0,0.0,-2.778216723894163
6,693432,1,2025-09-03,A,65.35709430500614,41-65,145193.62143418638,25-50%,298184.7442123832,0-25%,179856.38022526653,25-50%,8.25,5.25,39.8,4.225664620138823,0.153,0.003473371796587118,0,,0.0,8.25,0.0,0.0,0.0,-2.778216723894163
7,311916,1,2025-09-03,A,52.23732006012721,41-65,115174.89230070871,25-50%,244168.84019704728,0-25%,15819.513242891528,0-25%,11.25,7.25,14.4,1.219165172285081,0.205,0.011735009588869205,0,,0.0,11.25,0.0,0.0,0.0,-2.778216723894163
8,848052,1,2025-09-03,A,39.31327511727277,18-40,2358831.236007901,>75%,546467.9520994681,25-50%,547318.1401505276,50-75%,8.75,5.75,6.7,8.794013018142918,0.234,0.032125556338670765,0,,0.0,8.75,0.0,0.0,0.0,-2.778216723894163
9,290843,1,2025-09-03,A,68.81342486578139,>65,1713639.8551782991,>75%,25030291.75186633,>75%,13055170.599765632,>75%,14.5,5.5,37.1,1.0707585940275703,0.145,0.0036643801910359887,0,,0.0,14.5,0.0,0.0,0.0,-2.778216723894163
10,506570,1,2025-09-03,A,52.14382102727652,41-65,107169.70736942189,25-50%,1383167.346823578,50-75%,2513140.177614135,>75%,8.25,11.25,56.3,3.151382774406296,0.201,0.006582821030019573,0,,0.0,8.25,0.0,0.0,0.0,-2.778216723894163
11,848799,1,2025-09-03,A,66.7179800508866,>65,1871690.236525335,>75%,8694228.987092732,>75%,465713.2644011485,25-50%,6.25,10.25,70.8,5.856900477510596,0.142,0.014441408377872392,0,,0.0,6.25,0.0,0.0,0.0,-2.778216723894163
12,479360,1,2025-09-03,A,52.636976931078834,41-65,2400225.06196121,>75%,47761119.57302719,>75%,1941203.5863070164,>75%,7.5,7.75,3.3,2.790780594202735,0.199,0.02932371102999856,0,,0.0,7.5,0.0,0.0,0.0,-2.778216723894163
13,963370,1,2025-09-03,A,57.71544928899837,41-65,446531.6311592674,50-75%,439906.0462693576,25-50%,107924.22054756225,0-25%,8.75,9.0,61.2,1.1697700701896774,0.178,0.019121559235005272,0,,0.0,8.75,0.0,0.0,0.0,-2.778216723894163
14,906511,1,2025-09-03,A,30.28467986329044,18-40,68523.79553977842,0-25%,52705.19779009498,0-25%,270712.8756589018,25-50%,8.0,10.0,2.3,1.4316192775114194,0.234,0.030409276765769624,0,,0.0,8.0,0.0,0.0,0.0,-2.778216723894163
15,666131,1,2025-09-03,A,44.79701966090841,41-65,169606.98753468198,25-50%,1207608.2085083316,25-50%,71907.14568270251,0-25%,9.0,7.5,2.6,23.274611976083484,0.214,0.008542013752985156,0,,0.0,9.0,0.0,0.0,0.0,-2.778216723894163
16,454333,1,2025-09-03,A,40.6841482746341,18-40,111072.9317207027,25-50%,208226.47542135927,0-25%,70993.95614350685,0-25%,7.75,12.25,41.0,3.849563547136913,0.246,0.026041129079287437,0,,0.0,7.75,0.0,0.0,0.0,-2.778216723894163
17,865419,1,2025-09-03,A,81.18266617967542,>65,56490.529151544826,0-25%,887033.7772881716,25-50%,467462.5687567419,25-50%,9.75,11.75,16.5,4.91607475703868,0.107,0.001719158429238453,0,,0.0,9.75,0.0,0.0,0.0,-2.778216723894163
18,162692,1,2025-09-03,A,74.33240505769382,>65,240705.46847148097,50-75%,2320281.085635352,50-75%,107349.66580775275,0-25%,8.0,6.25,15.8,12.043902682897944,0.138,0.0026583392953596348,0,,0.0,8.0,0.0,0.0,0.0,-2.778216723894163
19,584349,1,2025-09-03,A,47.13248582694976,41-65,151989.20766460116,25-50%,1434825.1361750548,50-75%,873745.1105971843,50-75%,9.75,4.75,4.1,1.5618168547188882,0.212,0.0072221486251463,0,,0.0,9.75,0.0,0.0,0.0,-2.778216723894163
20,992796,1,2025-09-03,A,67.47428503836652,>65,2990061.012974409,>75%,25020355.40621839,>75%,10221193.147378337,>75%,11.0,6.25,87.9,12.323670430404682,0.164,0.0035872415173151236,0,,0.0,11.0,0.0,0.0,0.0,-2.778216723894163
21,600790,1,2025-09-03,A,54.71679260667983,41-65,942780.7674503886,>75%,14235276.162133005,>75%,2605023.783572013,>75%,2.5,7.0,1.9,3.595404641089354,0.162,0.016323320659670612,0,,0.0,2.5,0.0,0.0,0.0,-2.778216723894163
22,733752,1,2025-09-03,A,55.5107000896033,41-65,116125.43934810148,25-50%,970109.5686886772,25-50%,283601.74712329794,25-50%,9.5,4.5,39.9,5.564062017890949,0.174,0.004528587535982532,0,,0.0,9.5,0.0,0.0,0.0,-2.778216723894163
23,850898,1,2025-09-03,A,85.5030071380859,>65,456336.90851443214,50-75%,24522044.324161973,>75%,8206726.175879094,>75%,5.25,8.5,32.3,3.1454528459062394,0.116,0.0018674090889480145,0,,0.0,5.25,0.0,0.0,0.0,-2.778216723894163
24,864011,1,2025-09-03,A,76.01406972877123,>65,234942.2911260689,50-75%,3335999.6502395878,50-75%,340600.5562321086,25-50%,5.0,4.25,19.3,5.652542938192481,0.13,0.0021880085746527693,0,,0.0,5.0,0.0,0.0,0.0,-2.778216723894163
25,598554,1,2025-09-03,A,66.83636728816364,>65,50153.90265262588,0-25%,953235.474390455,25-50%,842679.3201619281,50-75%,9.5,5.5,24.1,1.1508252428516204,0.15,0.0016061767296464227,0,,0.0,9.5,0.0,0.0,0.0,-2.778216723894163
26,168140,1,2025-09-03,A,28.01496160992451,18-40,8756221.78131699,>75%,17875596.526419085,>75%,510935.89941604674,50-75%,4.5,4.5,34.2,0.6815409993366717,0.242,0.11003208175751399,0,,0.0,4.5,0.0,0.0,0.0,-2.778216723894163
27,410028,1,2025-09-03,A,61.47297033212678,41-65,512380.3779052181,50-75%,41746180.34492784,>75%,2735438.695548148,>75%,4.75,1.75,46.1,1.9102550225385533,0.176,0.004233933741156708,0,,0.0,4.75,0.0,0.0,0.0,-2.778216723894163
28,183755,1,2025-09-03,A,67.11700733293279,>65,240933.4240868492,50-75%,14945104.497058582,>75%,4611405.733179456,>75%,6.75,4.75,14.1,0.602144253001362,0.145,0.0022477991794349504,0,,0.0,6.75,0.0,0.0,0.0,-2.778216723894163
29,147224,1,2025-09-03,A,49.79917164030696,41-65,518435.8367051709,>75%,77671361.62851766,>75%,5108048.453888974,>75%,8.0,7.75,120.2,1.3005714429230313,0.211,0.005848071105844138,0,,0.0,8.0,0.0,0.0,0.0,-2.778216723894163
30,528706,1,2025-09-03,A,72.97018216511451,>65,194108.82006409124,50-75%,2115767.7013367736,50-75%,906215.262258996,50-75%,6.75,9.75,1.6,3.639856016900063,0.149,0.004120260510969986,0,,0.0,6.75,0.0,0.0,0.0,-2.778216723894163
31,491988,1,2025-09-03,A,84.50112438079849,>65,890063.3303782258,>75%,100800529.92213136,>75%,3093397.6312250607,>75%,8.75,6.75,20.7,1.4243966580395755,0.124,0.0017477150178002597,0,,0.0,8.75,0.0,0.0,0.0,-2.778216723894163
32,155496,1,2025-09-03,A,51.30738996674196,41-65,199916.2450579409,50-75%,6824805.802976756,>75%,499673.0933040274,50-75%,6.5,5.25,5.3,1.8128943946127851,0.189,0.007390972034676599,0,,0.0,6.5,0.0,0.0,0.0,-2.778216723894163
33,488829,1,2025-09-03,A,68.52857035059604,>65,256449.51656759405,50-75%,3031544.2819600967,50-75%,2653047.0761994515,>75%,7.25,6.75,32.5,3.2375169425045653,0.187,0.0021892072996299665,0,,0.0,7.25,0.0,0.0,0.0,-2.778216723894163
34,968105,1,2025-09-03,A,69.9479033329284,>65,90550.0220153899,0-25%,706020.7692892482,25-50%,1186581.0446857756,50-75%,5.0,5.25,59.4,22.86905037189592,0.144,0.0017717021959272553,0,,0.0,5.0,0.0,0.0,0.0,-2.778216723894163
35,321209,1,2025-09-03,A,43.98080820810492,41-65,298529.85750968644,50-75%,1157711.279442527,25-50%,694139.6367156354,50-75%,4.25,9.75,1.4,5.221199143073311,0.225,0.02167060570942687,0,,0.0,4.25,0.0,0.0,0.0,-2.778216723894163
36,839548,1,2025-09-03,A,70.77264460189063,>65,176610.71693940958,25-50%,4250656.110115787,50-75%,807191.1451341682,50-75%,5.75,9.75,16.2,0.2902957283850251,0.146,0.004786477467131758,0,,0.0,5.75,0.0,0.0,0.0,-2.778216723894163
37,293292,1,2025-09-03,A,33.80406915093183,18-40,214737.75483725977,50-75%,1029520.6830341442,25-50%,1417824.2664788363,50-75%,5.0,7.0,6.5,6.096674520808466,0.266,0.025859868764656204,0,,0.0,5.0,0.0,0.0,0.0,-2.778216723894163
