,user_id,age,income,net_worth,retirement_balance,current_pct,employer_cap,last_login,acct_tenure,time_online_frac,age_cohort,income_cohort,networth_cohort,balance_cohort
0,497369,61.12045243414825,7564023.804052803,9468703.78426922,4602986.005948215,6.75,6.0,32.2,2.785594155984494,0.182,41-65,>75%,>75%,>75%
1,631172,58.836339936181126,228273.05309120766,2061202.231663526,69719.91712333223,8.0,5.25,9.3,6.392433756877162,0.199,41-65,50-75%,50-75%,0-25%
2,734414,54.1639894330297,309756.21770959493,7383802.450830738,2918227.4123159144,9.75,10.75,161.3,0.44248926360324586,0.203,41-65,50-75%,>75%,>75%
3,700851,61.33497344889636,1662607.5097390513,5007976.114008195,694137.985204609,8.0,9.0,11.0,1.8298254594215688,0.147,41-65,>75%,50-75%,50-75%
4,614964,65.68368202216537,567982.035967904,69785605.87369372,5574125.478331569,10.5,9.0,3.5,0.8030748485610101,0.179,41-65,>75%,>75%,>75%
5,319807,59.15562431496607,218071.84699218633,848170.3179604874,185034.9721981003,12.0,6.25,54.0,0.6322250742255879,0.19,41-65,50-75%,25-50%,25-50%
6,794573,42.27318688680421,88668.89713173223,185852.20453119391,180027.0408638729,8.25,8.25,15.0,1.0626856417499124,0.221,41-65,0-25%,0-25%,25-50%
7,828511,39.26425228778074,13511401.5798902,1014791.5402739046,865620.6540201557,5.0,10.75,16.5,2.1273374907739653,0.253,18-40,>75%,25-50%,50-75%
8,386345,20.6604915470086,141233.10391141466,93055.22367245518,7465.865105235063,9.25,3.5,0.9,0.8957236547204976,0.305,18-40,25-50%,0-25%,0-25%
9,271158,53.37622990637914,174408.788035218,571125.9624208774,285797.0613437056,12.75,7.5,22.9,3.9275379146316243,0.204,41-65,25-50%,25-50%,25-50%
10,906347,75.71127465567295,239774.87433199128,18815316.649853162,5626466.528460916,5.5,11.0,31.2,2.802009646641845,0.131,>65,50-75%,>75%,>75%
11,241435,79.97285586665976,592622.6033982018,55921850.08565268,1555762.682056441,8.5,11.0,6.9,5.797806674294085,0.128,>65,>75%,>75%,50-75%
12,463854,59.244898406003344,212613.51067667635,6890417.812498393,3000651.8194286,12.25,6.75,50.3,1.2810848235476062,0.165,41-65,50-75%,>75%,>75%
13,590512,74.7689693033511,62065.86953116002,1244471.1955746338,239361.89907052083,6.75,4.5,6.3,10.539105897881033,0.129,>65,0-25%,50-75%,25-50%
14,400802,36.370352735196526,336123.5799669001,319556.1157984316,592536.155234326,9.25,12.5,23.6,0.1998881087145703,0.24,18-40,50-75%,0-25%,50-75%
15,611332,77.06556596813292,418559.07074299274,5101493.465814597,1306176.259783627,6.5,10.75,3.9,5.560623743407951,0.138,>65,50-75%,50-75%,50-75%
16,307966,36.58621591980525,46110.41507085914,16071.169354011952,11136.774648636469,5.0,11.0,27.7,2.6887693495367837,0.25,18-40,0-25%,0-25%,0-25%
17,138658,78.89336193539943,327315.9532987401,13192241.865058688,3685164.5508755273,5.75,9.0,13.9,4.127829195531368,0.114,>65,50-75%,>75%,>75%
18,995747,64.35764198070892,1476533.1089219172,1201550.8320711125,6399459.736137069,9.0,10.75,20.7,0.8129992406916892,0.148,41-65,>75%,25-50%,>75%
19,456187,55.35872010370508,43695.09439834734,106439.27955094344,253232.85697673613,8.25,6.5,79.5,1.3209403536481374,0.187,41-65,0-25%,0-25%,25-50%
20,916951,56.02379574009213,708093.053272442,1966267.893605244,507553.0655761761,9.5,9.0,33.4,8.147162854774447,0.19,41-65,>75%,50-75%,50-75%
21,272036,78.54892752182552,702742.2342230612,8218530.197955711,100465.70340539409,5.25,9.75,27.0,17.318085166625124,0.116,>65,>75%,>75%,0-25%
22,138592,36.573694394882494,894832.8030457519,2082455.5324227915,485964.2547682732,10.5,13.25,85.2,2.0556908278734825,0.276,18-40,>75%,50-75%,25-50%
23,638549,54.712969504155694,42917.528938501695,144639.80754912773,15452.530204299048,5.25,4.5,60.9,6.05284191238391,0.215,41-65,0-25%,0-25%,0-25%
24,216749,68.98284098204498,1529538.2647130927,2390654.5478363466,548530.2858231288,9.75,7.5,35.0,10.547334977012426,0.094,>65,>75%,50-75%,50-75%
25,995705,52.564695172653394,61627.046340278335,23241.950858153086,8436.932226879358,8.75,12.5,9.9,11.235130262495353,0.161,41-65,0-25%,0-25%,0-25%
26,339214,41.61072285422919,35937.2764258978,102521.9557043148,306844.0944377173,3.5,8.25,43.0,0.5579746984920556,0.23,41-65,0-25%,0-25%,25-50%
27,260751,80.79417648889648,1455773.252551617,158645351.36575243,7384196.26486552,10.25,6.5,4.7,0.21205685342931102,0.106,>65,>75%,>75%,>75%
28,693350,43.17936282301226,210099.13328010123,2574667.89224896,1999988.7954746622,7.25,3.5,252.7,1.6153243864655948,0.234,41-65,50-75%,50-75%,>75%
29,301822,49.64332245767204,87172.5727678432,1283969.457398237,222030.13847511954,14.25,4.25,7.1,10.47983416791462,0.214,41-65,0-25%,50-75%,25-50%
30,633646,61.31509161090215,514111.6057335587,6405523.566779078,145520.23567867785,6.5,8.5,74.3,0.7210902005107125,0.218,41-65,50-75%,>75%,25-50%
31,658615,34.39638706452171,1404637.1876120875,3135744.5882220855,1667529.448020333,13.0,2.75,57.1,2.7502792158863856,0.233,18-40,>75%,50-75%,50-75%
32,960560,52.478959629628655,97608.41928875672,229288.4834010632,699773.1265026549,5.25,13.75,9.6,15.749203150356706,0.193,41-65,25-50%,0-25%,50-75%
33,379187,60.09456187918772,83935.96014844291,1633732.4398499806,2562686.595972674,3.0,5.0,54.0,3.9555475680036505,0.22,41-65,0-25%,50-75%,>75%
34,733881,65.44884934078169,226847.22491672233,22557573.470861033,3222974.3062017383,11.75,6.5,1.4,5.8892689868698325,0.175,41-65,50-75%,>75%,>75%
