,age,income,net_worth,retirement_balance
0,40.0,5.4870211180871635,6.281669303805764,6.319853492235641
1,60.0,4.796931942244205,4.534968041467842,6.112072222153796
2,69.0,5.708107900046584,6.640638077925269,7.195893934260626
3,51.0,4.857051572811097,7.431365679232355,6.581899458127372
4,84.0,4.968281622555862,4.438057949864283,4.60332469577063
5,77.0,4.81889510417735,6.230816143406291,5.155363267921623
6,85.0,4.352435870039959,6.379304190359175,5.611553959150794
7,72.0,4.932254337120577,7.231881242391552,4.540788495816568
8,32.0,4.9876815831762356,6.297573741340232,6.447197855491219
9,69.0,5.306844447529325,5.325822430805815,4.712196135440341
10,50.0,4.895465021566715,8.013445063759994,5.783757487928529
11,40.0,4.454510847925927,7.646237541834537,6.192570155502449
12,59.0,5.812482532070368,9.07103506682611,5.661214420346113
13,79.0,5.7046109280533335,7.845134431417882,6.697986404023001
14,63.0,4.453711010674787,7.903661879327366,5.509403326111481
15,43.0,6.102853478867612,5.7030241488054685,5.345397425306221
16,65.0,5.572992537573949,5.885325434807719,4.993824104605295
17,53.0,5.31143913726834,6.537562454420349,6.134741784688025
18,37.0,6.019484223534271,3.9742874132855706,4.015049631536734
19,44.0,4.766862549877153,6.704794766873147,6.51646256402544
20,55.0,4.995883809539519,5.5887970692371525,5.498067713287969
21,57.0,5.125516157555052,9.206239870193695,6.59232443370888
22,70.0,4.9618217910066855,5.304408351103356,6.511504798810926
23,55.0,4.897691236947873,7.378969790568136,5.707122167104623
24,64.0,4.546616960916266,5.590747620387227,5.608561485870039
25,39.0,4.6285315619906,4.116136280291582,5.357342395971993
26,39.0,4.14776452519181,4.99176835629156,6.214267572961852
27,82.0,4.461529760602116,6.596679367517792,4.841292384876306
28,55.0,4.884162364094333,6.507867696843674,5.320333031573556
29,63.0,5.004743367848704,7.015386816547741,3.598966498632329
30,65.0,5.183527827743956,7.938073913125163,5.792886043002683
31,67.0,4.9173093738700535,7.8786920143042165,6.037514014586165
32,51.0,4.45612499635323,5.397608073823509,5.065082455973515
33,65.0,6.493779755254089,6.478574027023802,5.602935215679899
34,53.0,4.652701657726377,7.370484923438415,5.447424825250962
35,62.0,5.395468651980975,6.345702144905241,5.604595883842652
36,93.0,8.057588810008065,7.13333501777523,6.259144061743647
37,72.0,7.126169265871628,5.63991526398523,6.313967557571591
38,40.0,6.214481261592099,6.627335580161432,6.684897711287594
39,85.0,4.997496475748561,5.797996859614374,5.358012131508676
40,37.0,4.45423278547899,6.926916392900717,5.518319715337528
41,73.0,5.080486725587796,6.014193413660523,5.08260454110064
42,69.0,5.404933561613424,5.308167466322682,5.98464512492031
43,65.0,6.199400839044752,6.260629395690458,6.189228517319101
44,49.0,4.6623911011210755,5.991617114478255,3.637173070752375
45,51.0,4.861854748608221,5.532846872752917,4.517068695789389
46,77.0,4.876102774694643,6.416369406226275,6.23529256961587
47,75.0,6.793080063545442,9.093132443450251,7.02259981198543
48,35.0,4.480350575468266,5.786248782356229,3.2618167381589416
49,50.0,4.650259092496717,6.2412548394799305,5.017438484116066
50,71.0,4.7145704162643245,5.484774168145445,5.915575304947858
51,85.0,4.672656636499179,5.672853213557079,5.038251755279727
52,37.0,4.660769274038713,6.7505537016924055,5.188600055585718
53,80.0,7.641986657901226,8.731236563659643,6.146192421879289
54,44.0,7.238247309784336,7.01169133400276,7.303764657703106
55,75.0,5.456310386831934,9.004681378732293,6.343792401365252
56,45.0,6.7839162573936775,5.981906124487555,4.905504283507886
57,63.0,5.111780651084664,5.793390883189485,5.634573727903055
58,60.0,6.4700239920607725,6.199273345994336,5.671586163187529
59,64.0,5.183624631013042,5.7777593299509835,5.91916065946049
60,66.0,5.353776959945204,7.306903606883751,6.064029200464039
61,46.0,4.820208980529664,7.732842325351079,6.01648019619069
62,43.0,4.762810445456608,4.483367772741263,3.878585546393012
63,65.0,6.513683372836959,7.419444917416472,6.160785458158088
64,82.0,5.675625990927302,6.822601731154849,6.663625477602623
65,71.0,5.799645112831122,5.66478010756187,4.3445419899916065
66,59.0,6.7141018251541205,8.386224111709339,5.637187053084717
67,89.0,5.768110462328702,5.714141058784705,6.828236747687454
68,61.0,5.1801905890411195,6.842495100150247,5.6502916516391135
69,81.0,5.726281362117688,9.35199037094829,4.453160602889584
70,77.0,5.9774336921248095,6.040275309812197,5.21999130835461
71,68.0,4.9866259857935225,6.978904162378335,6.554831575519813
72,75.0,5.193634111717494,6.792869739304069,5.94051090849771
73,67.0,5.857417176427968,5.488607960994,5.392718055773132
74,64.0,5.039397343037936,5.0727682005506045,5.212217537146083
75,58.0,4.495103480300463,3.6281003048890375,5.461916566871176
76,53.0,4.875322570290575,5.2690426850068945,3.9847875499949836
77,73.0,4.4722718149131895,5.6563268320730895,4.7498057283258275
78,78.0,5.59331246033686,5.997852663196064,5.5752423583352435
79,70.0,4.980408735268352,6.505703426060083,6.305624813570856
80,47.0,4.6225351099870124,6.1831519894263645,4.469982380309881
81,60.0,6.42588697140893,4.683367944450745,5.63669376759222
82,78.0,5.008973101570301,6.913809157170458,6.223805933728659
83,37.0,4.735378576895156,5.739130460061247,6.790410206228569
84,40.0,4.671273521266647,6.6436500143218025,4.763464171148892
85,82.0,5.224380583546098,6.588512348045255,6.431877959935417
86,44.0,4.640257377911829,7.821658843214424,5.043798818845124
87,58.0,4.547998006474303,6.731255255634064,5.098220254276685
88,59.0,4.8394640720778455,5.137820187622824,5.360754174646652
89,44.0,5.2718306638427235,5.741581705812899,6.710390547593454
90,81.0,5.272476588229173,6.199026586400363,4.591130661139861
91,43.0,5.6888294865081575,6.01056521123053,5.195051075228328
92,50.0,6.66275800210807,6.023376209587747,5.739521866640221
93,18.0,5.1099198604579525,6.735264855050419,6.561042642726548
94,82.0,5.4009973360610495,5.73780267466989,5.483643532772985
95,38.0,4.7471971735508625,7.4266446242517645,6.001422484683813
96,37.0,4.4598749660829915,7.115361453010869,5.0862585973284595
97,63.0,4.973753212154455,4.761911346688073,4.663134096401072
98,95.0,7.034412382514675,7.1379938645755665,5.6831464491786345
